Competition	Year
2015 Cincinnati Marlins TYR Sport Summer Classic	2015
Georgia Tech Last Chance Meet	2015
Florida vs. Georgia	2015
Indiana vs. Wisconsin	2015
Ohio State Invitational	2015
2015 NCSA Junior Nationals	2015
2015 Speedo Championship Series- Minneapolis	2015
Texas vs. Florida, Indiana - LCM	2015
2015 OH Central Zone Section 3	2015
2015 Speedo Champions Series - Plantation, FL	2015
2015 Speedo Champions Series LC - Buffalo	2015
2015 Futures Championships - West (Mount Hood)	2015
2015 YMCA Long Course National Championship	2015
Georgia Invitational	2015
Irish Open Swimming Championships	2015
2015 Speedo Champions Series - Gresham, OR	2015
Total Performance Invitational	2015
2015 Speedo Junior National Championships - Time Trials	2015
2015 Georgia Senior Long Course State Championships	2015
2016 NCSA Summer Junior Nationals	2015
2015 NCSA Junior National Championships	2015
2015 Speedo Champions Series - Indianapolis	2015
2015 FL Summer Senior Championships	2015
2015 Futures Championships - Central (West Lafayette)	2015
2015 Futures Championships - Central (West Lafayette) Time Trials	2015
Delta State Christmas Invitational	2015
2015 Niagara Long Course Classic NI-1415-230	2015
Art Adamson Invitational	2015
2015 Speedo Champions Series - College Station	2015
2015 Futures Championships - East (Greensboro)	2015
2015 Middle Atlantic LC Senior Championships	2015
2015 Speedo Winter Junior Nationals - East - LCM Time Trials	2015
2015 Speedo Winter Junior Nationals - East - Time Trials	2015
2015 Victorian Age Championships	2015
2015 Speedo Champions Series - Indianapolis Time Trials	2015
2015 Speedo LCM Champions Series - Austin, TX	2015
2015 Speedo Champions Series - Ithaca, NY	2015
2015 PN Pacific Coast	2015
Purdue Invitational - LCM Time Trials	2015
Eastern Zone Senior Championships	2015
Navy LC Invitational	2015
Pittsburgh Invitational	2015
2015 Hoosierland Time Trials	2015
Gulf Senior Zone Championships	2015
Speedo Winter Juniors 2015 Austin LCM time trials - Dec 13, 2015	2015
2015 CO CSI LC State Champions	2015
2015 OH OSSC Peppe Bruce Invit	2015
2015 AM LC Team Pittsburgh Junior Olympics	2015
2015 HI Senior FALL Championsh	2015
2015 South Carolina LC Senior State Championships	2015
2015 NASA Junior National Cham	2015
MLC Aquatic Long Course Meet F	2015
European Games	2015
2015 Wisconsin Senior State Championships	2015
Dallas Mustangs Senior Circuit #1	2015
Western Zone Senior Time Trials	2015
2015 Illinois Senior Champs LCM	2015
2015 Speedo Champions Series - Far West	2015
ACC Long Course Time Trials	2015
Eastern Zone Senior Championships - Time Trials	2015
Copa Coqui Invitational	2015
Internationales Weihnachtsschwimmen	2015
Cleveland State Splash Bash	2015
2015 Oklahoma State Long Course Championships	2015
Surrey Park Long Course Meet 2	2015
2015 PC Speedo Adam Szmidt Memorial LC Junior Olympics (TERA)	2015
AD Long Course Championships Colgate	2015
7th Annual Rainbow Aquatics Meet	2015
Victorian Qualifying Meet	2015
RZW: Regionale Meisterschaften	2015
2016 Olympic Games	2016
2016 United States Olympic Trials	2016
2016 NOVAQUATICS – SPEEDO GRAND CHALLENGE	2016
2016 Arena Pro Swim Series at Charlotte	2016
2016 Road To Rio Meet	2016
Arena European Junior Swimming Championships	2016
Arena Pro Swim Series Indianapolis	2016
U.S. Open	2016
Western Zone Sectionals	2016
Speedo Summer Junior National Championships	2016
New Zealand Open Championships	2016
Southern Premier Championships	2016
Arena Pro Swim Series (College Results)	2016
Speedo Champions Series (Roseville)	2016
Omaha cup	2016
Florida vs. Auburn	2016
Alabama vs. Tennessee	2016
Atviras Lietuvos plaukimo čempionatas	2016
Victorian Open Championships	2016
XXI Caribbean Islands Swimming Championships 2016, Nassau Bahamas	2016
Speedo Champions Series (Columbia)	2016
2016 Speedo Champions Series (Plantation)	2016
2016 Speedo Championship Series Meet- Buffalo	2016
2016 CA TYR/MVN Fran Crippen Swim Meet of Champions	2016
2016 Speedo Champions Series (College Station)	2016
Orlando Open	2016
Pacific Northwest Senior State LCM Championships	2016
Speedo Champions Series (Mount Hood)	2016
2016 Senior Metropolitan SCY Winter Championships	2016
OH OSSC Long Course Time Trial	2016
Speedo Champions Series (Orlando)	2016
Indiana Senior LCM State Championships	2016
2016 Speedo Champions Series (Federal Way)	2016
MR Senior Metropolitan LC	2016
2016 Speedo Champions Series (Geneva)	2016
Gulliver Long Course Invitatio	2016
2016 Speedo Champions Series (Jenks)	2016
2016 Speedo Sectionals Championship Series	2016
2016 NCSA Spring Championship	2016
2016 OH CATS Bearcat Summer Invitational	2016
Speedo Sectionals - Columbus	2016
Speedo Champions Series (Brown Deer)	2016
2016 USA Swimming Olympic Trials - Time Trials	2016
Husky Invitational	2016
2016 NAC Speedo Summer Sizzler	2016
Middle Atlantic LC Sr Champs	2016
Swedish Grand Prix	2016
2016 Speedo Champions Series (Nashville)	2016
USA Swimming Futures Championships (Stanford)	2016
2016 Victorian Sprint Champion	2016
OSSC Peppe/Bruce Memorial	2016
2016 Speedo Champions Series (Pleasant Prairie)	2016
2016 HI Senior LC Championship	2016
USA Swimming Futures Championships (Austin)	2016
Tar Heel State Championships	2016
Purdue LCM Time Trial	2016
2016 SPEEDO SECTIONALS AT SPIRE INSTITUTE	2016
GULF CHAMPS TWST	2016
2016 LA TAQ Summer Classic	2016
2016 The Last Chance Invitational	2016
ST TXLA LC STAGS	2016
